Product_ID,Title,Price,Year,Manufacturer,Brand,Origin,Figure,Seats,Gear,Fuel,Color,Shop_Slug
F8V15,Isuzu D-Max LS PRESTIGE 1.9 4x2 MT 2024,627000000,2024,Isuzu,mu-X,Nhập khẩu,SUV,5,Số sàn,Dầu,Trắng,isuzu-tay-bac-sai-gon
F8V13,Isuzu mu-X Premium 1.9 4x4 AT 2023,1030000000,2023,Isuzu,mu-X,Nhập khẩu,SUV,7,Số tự động,Dầu,Trắng,isuzu-tay-bac-sai-gon
F8V12,HYUNDAI CRETA NLINE 2025 - ĐỎ,715000000,2025,Hyundai,Creta,Việt Nam,CUV,5,Số tự động,Xăng,Đỏ,hyundai-kontum
F8V11,HYUNDAI CRETA NLINE 2025 - ĐEN,715000000,2025,Hyundai,Creta,Việt Nam,CUV,5,Số tự động,Xăng,Đen,hyundai-kontum
F8V10,Isuzu mu-X B7 Plus 4x2 AT 2025,927000000,2023,Isuzu,mu-X,Nhập khẩu,SUV,7,Số tự động,Dầu,Trắng,isuzu-tay-bac-sai-gon
F8V1Z,Isuzu mu-X 1.9 PRESTIGE 4X2 AT 2025,1124000000,2025,Isuzu,mu-X,Nhập khẩu,SUV,7,Số tự động,Dầu,Xám,isuzu-tay-bac-sai-gon
F8V1Y,Isuzu mu-X 1.9 PRESTIGE 4X2 AT 2025,1124000000,2025,Isuzu,mu-X,Nhập khẩu,SUV,7,Số tự động,Dầu,Trắng,isuzu-tay-bac-sai-gon
F8V1S,Thanh lý Isuzu mu-X 1.9 PRESTIGE 4X2 AT 2021 - 95000km,780000000,2022,Isuzu,mu-X,Nhập khẩu,SUV,7,Số tự động,Dầu,Trắng,isuzu-tay-bac-sai-gon
F8V1I,ISUZU QKR270 THÙNG KÍN E5 2025,660000000,2025,Isuzu,QKR270,Việt Nam,Xe tải,3,Số sàn,Dầu,Trắng,isuzu-tay-bac-sai-gon
F8UJD,FORD RANGER RAPTOR 2.0L 4WD AT 2025 XÁM,1306000000,2025,Ford,Ranger,Nhập khẩu,Pickup,5,Số tự động,Dầu,Xám,binh-thuan-ford
F8URQ,FORD TERRITORY TITANIUM X 1.5 AT 2025 ĐỎ,889000000,2025,Ford,Territory,Việt Nam,SUV,5,Số tự động,Xăng,Đỏ,binh-thuan-ford
F8VR1,FORD TRANSIT PREMIUM+ 2025 - TRẮNG,1091000000,2025,Ford,Transit,Việt Nam,Van/Minibus,16,Số sàn,Dầu,Trắng,binh-thuan-ford
F8URR,FORD RANGER XLS 2.0L 4X4 AT 2025 ĐEN,776000000,2025,Ford,Ranger,Việt Nam,Pickup,5,Số tự động,Dầu,Đen,binh-thuan-ford
F8VCP,FORD EVEREST SPORT SE 2025 MÀU TRẮNG TUYẾT,1199900000,2025,Ford,Everest,Nhập khẩu,SUV,7,Số tự động,Dầu,Trắng,binh-thuan-ford
F8URE,FORD RANGER RAPTOR 2024 ĐỎ CAM,1306000000,2024,Ford,Ranger,Nhập khẩu,Pickup,5,Số tự động,Dầu,Đỏ,binh-thuan-ford
F8UJE,FORD RANGER WILDTRAK 2.0L AT 4X4 2025 ĐỎ,986000000,2025,Ford,Ranger,Việt Nam,Pickup,5,Số tự động,Dầu,Đỏ,binh-thuan-ford
F8URS,FORD RANGER XLS 2.0L 4X4 AT 2025 TRẮNG,776000000,2025,Ford,Ranger,Việt Nam,Pickup,5,Số tự động,Dầu,Trắng,binh-thuan-ford
F8UKC,FORD RANGER XLS 2.0L 4x2 AT 2025 TRẮNG,707000000,2025,Ford,Ranger,Việt Nam,Pickup,5,Số tự động,Dầu,Trắng,binh-thuan-ford
F8UJC, FORD EVEREST SPORT 4X2 AT 2025 ĐEN,1178000000,2025,Ford,Everest,Nhập khẩu,SUV,7,Số tự động,Dầu,Đen,binh-thuan-ford
F8UZO,FORD TERRITORY TITANIUM X 1.5 AT 2025 NÂU,889000000000,2025,Ford,Territory,Việt Nam,SUV,5,Số tự động,Xăng,Nâu,binh-thuan-ford
F8VAN,FORD RANGER XLS 2.0L 4X4 AT 2025 MÀU ĐỎ CAM,777600000,2025,Ford,Ranger,Việt Nam,Pickup,5,Số tự động,Dầu,Đỏ,binh-thuan-ford
F8URJ,FORD TRANSIT PREMIUM+ 2025 BẠC,1091000000,2025,Ford,Transit,Việt Nam,Van/Minibus,16,Số sàn,Dầu,Bạc,binh-thuan-ford
F8UKU,FORD EXPLORER LIMITED 2.3L ECOBOOST I4 AT 2025 TRẮNG,1999000000,2025,Ford,Explorer,Nhập khẩu,SUV,7,Số tự động,Xăng,Trắng,binh-thuan-ford
F8URT,FORD RANGER WILDTRAK  2.0L 4X4 AT 2025 VÀNG,986000000,2025,Ford,Ranger,Việt Nam,Pickup,5,Số tự động,Dầu,Vàng,binh-thuan-ford
F8VGP,FORD TRANSIT CỨU THƯƠNG HOÁN CẢI 2025 - MÀU TRẮNG,1057000000,2025,Ford,Transit,Việt Nam,Van/Minibus,16,Số sàn,Dầu,Trắng,binh-thuan-ford
F8VAL,FORD RANGER SPORT 2.0L 4X4 AT 2025 MÀU ĐỎ,871000000,2025,Ford,Ranger,Việt Nam,Pickup,5,Số tự động,Dầu,Đỏ,binh-thuan-ford
F8VR2,FORS TRANSIT PREMIUM+ 2025 PHIÊN BẢN ĐẶC BIỆT - MÀU VÀNG,1091000000,2025,Ford,Transit,Việt Nam,Van/Minibus,16,Số sàn,Dầu,Vàng,binh-thuan-ford
F8UJA,FORD TERRITORY SPORT 1.5L AT 2024 ĐEN,869000000,2024,Ford,Territory,Việt Nam,SUV,5,Số tự động,Xăng,Đen,binh-thuan-ford
F8URN,FORD EVEREST TITANIUM+ 2.0L 4X4 AT 2025 TRẮNG,1475000000,2025,Ford,Everest,Nhập khẩu,SUV,7,Số tự động,Dầu,Trắng,binh-thuan-ford
F8URC,FORD RANGER STORMTRAK 2025 BẠC,1039000000,2025,Ford,Ranger,Nhập khẩu,Pickup,5,Số tự động,Dầu,Bạc,binh-thuan-ford
F8V1T,"GEELY COOLRAY 5 MÀU, 3 PHIÊN BẢN NĂM 2025",538000000,2025,Geely,Coolray,Nhập khẩu,SUV,5,Số tự động,Xăng,Trắng,geely-can-tho
F8VTC,VOLVO XC60 PLUG - IN HYBRID ULTRA 2025,2750000000,2025,Volvo,XC60,Nhập khẩu,SUV,5,Số tự động,Plug-in hybrid ,Xanh,volvo-ha-noi
F8VZY,VOLVO S90 ULTRA 2025,2269000000,2025,Volvo,S90,Nhập khẩu,Sedan,5,Số tự động,Xăng,Bạc,volvo-ha-noi
F8VZX,VOLVO XC60 ULTRA 2025,2279000000,2025,Volvo,XC60,Nhập khẩu,SUV,5,Số tự động,Xăng,Vàng,volvo-ha-noi
F8VUQ,VOLVO EC40 2025,1739000000,2025,Volvo,EC40,Nhập khẩu,CUV,5,Số tự động,Điện,Xanh,volvo-ha-noi
F8VUJ,VOLVO XC40 ULTRA 2025,1820000000,2025,Volvo,XC40,Nhập khẩu,SUV,5,Số tự động,Xăng,Bạc,volvo-ha-noi
